,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext
2020-09-01 07:01:00,1.26,0.32036875
2020-09-01 07:02:00,0.891,0.32036875
2020-09-01 07:03:00,0.66,0.4486
2020-09-01 07:04:00,0.05499999999999999,0.4486
2020-09-01 07:05:00,-0.1375,0.32036875
2020-09-01 07:06:00,-0.027499999999999993,0.32036875
2020-09-01 07:07:00,0.198,0.4486
2020-09-01 07:08:00,-0.21,0.4486
2020-09-01 07:09:00,-0.36000000000000004,0.4486
2020-09-01 07:10:00,-0.627,0.32036875
2020-09-01 07:11:00,-0.05499999999999999,0.32036875
2020-09-01 07:12:00,-0.055,0.4486
2020-09-01 07:13:00,-0.11,0.32036875
2020-09-01 07:14:00,0.165,0.32036875
2020-09-01 07:15:00,0.33,0.32036875
2020-09-01 07:16:00,0.55,0.32036875
2020-09-01 07:17:00,0.78,0.32036875
2020-09-01 07:18:00,1.2650000000000001,0.32036875
2020-09-01 07:19:00,1.5300000000000002,0.32036875
2020-09-01 07:20:00,1.74,0.32036875
2020-09-01 07:21:00,1.6224999999999998,0.32036875
2020-09-01 07:22:00,1.71,0.32036875
2020-09-01 07:23:00,1.9525000000000003,0.32036875
2020-09-01 07:24:00,1.98,0.32036875
2020-09-01 07:25:00,2.3099999999999996,0.32036875
2020-09-01 07:26:00,2.0624999999999996,0.32036875
2020-09-01 07:27:00,1.8,0.32036875
2020-09-01 07:28:00,2.07,0.32036875
2020-09-01 07:29:00,1.8149999999999997,0.32036875
2020-09-01 07:30:00,1.9500000000000002,0.32036875
2020-09-01 07:31:00,2.1725,0.32036875
2020-09-01 07:32:00,2.2825,0.32036875
2020-09-01 07:33:00,1.68,0.32036875
2020-09-01 07:34:00,1.8150000000000002,0.32036875
2020-09-01 07:35:00,1.375,0.32036875
2020-09-01 07:36:00,1.4575000000000002,0.32036875
2020-09-01 07:37:00,1.29,0.32036875
2020-09-01 07:38:00,1.32,0.32036875
2020-09-01 07:39:00,1.6499999999999997,0.32036875
2020-09-01 07:40:00,1.35,0.32036875
2020-09-01 07:41:00,1.2650000000000001,0.32036875
2020-09-01 07:42:00,1.32,0.32036875
2020-09-01 07:43:00,1.4575000000000002,0.32036875
2020-09-01 07:44:00,1.5125000000000002,0.32036875
2020-09-01 07:45:00,1.7699999999999998,0.32036875
2020-09-01 07:46:00,2.4475000000000002,0.32036875
2020-09-01 07:47:00,2.2824999999999998,0.32036875
2020-09-01 07:48:00,2.5575,0.32036875
2020-09-01 07:49:00,3.135,0.32036875
2020-09-01 07:50:00,3.1624999999999996,0.32036875
2020-09-01 07:51:00,2.9399999999999995,0.32036875
2020-09-01 07:52:00,3.2174999999999994,0.32036875
2020-09-01 07:53:00,3.27,0.32036875
2020-09-01 07:54:00,2.9149999999999996,0.32036875
2020-09-01 07:55:00,3.1624999999999996,0.32036875
2020-09-01 07:56:00,3.6574999999999993,0.32036875
2020-09-01 07:57:00,3.4979999999999998,0.32036875
2020-09-01 07:58:00,3.3825,0.61306875
2020-09-01 07:59:00,3.57,0.61306875
2020-09-01 08:00:00,3.52,0.61306875
2020-09-01 08:01:00,3.2175,0.61306875
2020-09-01 08:02:00,3.6025000000000005,0.61306875
2020-09-01 08:03:00,4.015000000000001,0.61306875
2020-09-01 08:04:00,3.6300000000000003,0.61306875
2020-09-01 08:05:00,3.5475,0.61306875
2020-09-01 08:06:00,3.6900000000000004,0.61306875
