,CFBoilerOP.hp_steam_boiler_opt
2020-08-12 02:43:00,55.56139830508489
2020-08-12 02:51:00,58.48114406779665
2020-08-12 02:59:00,56.21644067796669
2020-08-12 03:07:00,57.269975282485916
2020-08-12 03:15:00,55.0
2020-08-12 03:23:00,61.06045903954792
2020-08-12 03:31:00,58.62244350282414
2020-08-12 03:39:00,59.60385593220417
2020-08-12 03:47:00,60.92508474576283
2020-08-12 03:55:00,55.0
2020-08-12 04:03:00,56.300000000021726
2020-08-12 04:11:00,57.44279661016871
2020-08-12 04:19:00,60.636101694915496
2020-08-12 04:27:00,59.8141737288147
2020-08-12 04:35:00,57.726140536723506
2020-08-12 04:43:00,58.70762711864401
2020-08-12 04:51:00,57.54886652542371
2020-08-12 04:59:00,60.27197740112982
2020-08-12 05:07:00,58.883601694915306
2020-08-12 05:15:00,65.12825564971818
2020-08-12 05:23:00,57.3220268361585
2020-08-12 05:31:00,61.61754237288147
2020-08-12 05:39:00,64.01860169491663
2020-08-12 05:47:00,64.94883474576325
2020-08-12 05:55:00,63.990519067797216
2020-08-12 06:03:00,60.6908686440688
2020-08-12 06:11:00,65.78937499999978
2020-08-12 06:19:00,64.02466454802254
2020-08-12 06:27:00,64.66817796610101
2020-08-12 06:35:00,63.40059322034044
2020-08-12 06:43:00,63.65491525423701
2020-08-12 06:51:00,59.12228813559393
2020-08-12 06:59:00,58.77069209039574
2020-08-12 07:07:00,56.65597457627142
2020-08-12 07:15:00,63.52639830508457
2020-08-12 07:23:00,55.763813559321775
2020-08-12 07:31:00,59.00000000005012
2020-08-12 07:39:00,56.90000000003823
2020-08-12 07:47:00,63.67555084939127
2020-08-12 07:55:00,64.60881355932187
2020-08-12 08:03:00,76.75999999999844
2020-08-12 08:11:00,77.57000000000275
2020-08-12 08:19:00,77.11999999999922
2020-08-12 08:27:00,74.4799999999978
2020-08-12 08:35:00,74.67999999999019
2020-08-12 08:43:00,78.1
2020-08-12 08:51:00,78.0
2020-08-12 08:59:00,73.46999999999328
2020-08-12 09:07:00,78.6
2020-08-12 09:15:00,77.0300000000272
2020-08-12 09:23:00,77.2
2020-08-12 09:31:00,70.0
2020-08-12 09:39:00,77.91000000013457
2020-08-12 09:47:00,78.2
2020-08-12 09:55:00,78.4
2020-08-12 10:03:00,77.2
2020-08-12 10:11:00,70.0
2020-08-12 10:19:00,77.9
2020-08-12 10:27:00,79.0
2020-08-12 10:35:00,70.0
2020-08-12 10:43:00,70.0
2020-08-12 10:51:00,72.82583333322978
2020-08-12 10:59:00,79.78181818181818
2020-08-12 11:07:00,71.25999999973249
2020-08-12 11:15:00,79.00000000020722
2020-08-12 11:23:00,71.68999999993757
2020-08-12 11:31:00,79.10567796598552
2020-08-12 11:39:00,71.97999999990823
2020-08-12 11:47:00,73.88999999991896
2020-08-12 11:55:00,76.2
2020-08-12 12:03:00,77.04900776836104
2020-08-12 12:11:00,76.0
2020-08-12 12:19:00,70.4558333333342
2020-08-12 12:27:00,78.69166666666666
2020-08-12 12:35:00,71.20416666667833
